InvoiceNo,CustomerID,InvoiceDate,InvoiceValue,TotalQuantity,ProductDiversity,LineCount,InvoiceValue_robust_z,TotalQuantity_robust_z,ProductDiversity_robust_z,InvoiceValue_iqr_flag,TotalQuantity_iqr_flag,ProductDiversity_iqr_flag,AnomalyFlag_N0,AnomalyFlag_N0_highconfidence,AnomalyFlag_N0_candidate,LikelyDataError
536365,17850,2010-12-01 08:26:00,139.12,40,7,7,-0.7373427658916858,-0.8079175824175824,-0.5396,False,False,False,False,False,False,False
536366,17850,2010-12-01 08:28:00,22.2,12,2,2,-1.2789996909234522,-1.0154560439560438,-0.8768499999999999,False,False,False,False,False,False,False
536367,13047,2010-12-01 08:34:00,278.73,83,12,12,-0.09056955939420977,-0.4891978021978022,-0.20234999999999997,False,False,False,False,False,False,False
536368,13047,2010-12-01 08:34:00,70.05,15,4,4,-1.0573243243243244,-0.9932197802197802,-0.74195,False,False,False,False,False,False,False
536369,13047,2010-12-01 08:35:00,17.85,3,1,1,-1.2991519969779184,-1.0821648351648352,-0.9442999999999999,False,False,False,False,False,False,False
536371,13748,2010-12-01 09:00:00,204.0,80,1,1,-0.43677227926783196,-0.5114340659340659,-0.9442999999999999,False,False,False,False,False,False,False
536372,17850,2010-12-01 09:01:00,22.2,12,2,2,-1.2789996909234522,-1.0154560439560438,-0.8768499999999999,False,False,False,False,False,False,False
536373,17850,2010-12-01 09:02:00,259.86,88,16,16,-0.17798887324427334,-0.45213736263736265,0.06745,False,False,False,False,False,False,False
536374,15100,2010-12-01 09:09:00,350.4,32,1,1,0.2414570555307532,-0.8672142857142857,-0.9442999999999999,False,False,False,False,False,False,False
536375,17850,2010-12-01 09:32:00,259.86,88,16,16,-0.17798887324427334,-0.45213736263736265,0.06745,False,False,False,False,False,False,False
536376,15291,2010-12-01 09:32:00,328.8,112,2,2,0.14139043236374896,-0.27424725274725276,-0.8768499999999999,False,False,False,False,False,False,False
536377,17850,2010-12-01 09:34:00,22.2,12,2,2,-1.2789996909234522,-1.0154560439560438,-0.8768499999999999,False,False,False,False,False,False,False
536378,14688,2010-12-01 09:37:00,444.98,454,19,19,0.6796191490092383,2.260686813186813,0.2698,False,False,False,False,False,False,False
536380,17809,2010-12-01 09:41:00,34.8,24,1,1,-1.2206274940760329,-0.926510989010989,-0.9442999999999999,False,False,False,False,False,False,False
536381,15311,2010-12-01 09:41:00,449.98,198,34,35,0.7027827191867856,0.3631923076923077,1.28155,False,False,False,False,False,False,False
536382,16098,2010-12-01 09:45:00,430.6,134,12,12,0.6130007211786123,-0.11118131868131868,-0.20234999999999997,False,False,False,False,False,False,False
536384,18074,2010-12-01 09:53:00,489.6,190,13,13,0.8863308492736706,0.30389560439560437,-0.1349,False,False,False,False,False,False,False
536385,17420,2010-12-01 09:56:00,130.85,53,7,7,-0.7756553109653491,-0.7115604395604395,-0.5396,False,False,False,False,False,False,False
536386,16029,2010-12-01 09:57:00,508.20000000000005,236,3,3,0.9724993303341466,0.6448516483516483,-0.8093999999999999,False,False,False,False,False,False,False
