Year,Month,GrossRevenue,CancelledRevenue,InvoiceCount
2010,12,570422.7300000167,-74729.11999999965,1726
2011,1,568101.310000008,-131363.04999999967,1247
2011,2,446084.92000001646,-25519.15000000001,1216
2011,3,594081.7600000132,-34201.28000000008,1639
2011,4,468374.33100000076,-44600.64999999992,1389
2011,5,677355.1500000018,-47202.50999999987,1869
2011,6,660046.0500000116,-70569.7799999997,1722
2011,7,598962.901000014,-37919.13,1601
2011,8,644051.040000008,-54330.80000000006,1558
2011,9,950690.201999996,-38838.51000000001,2088
2011,10,1035642.4499999871,-81895.49999999972,2291
2011,11,1156205.6099999472,-47720.97999999989,3098
2011,12,517190.44000000326,-205089.27,924
