CountryName,GrossRevenue,InvoiceCount,CustomerCount
United Kingdom,7285024.643999223,20018,3950
Netherlands,285446.3399999997,100,9
EIRE,265262.45999999973,332,4
Germany,228678.40000000055,603,95
France,208934.31000000017,458,87
Australia,138453.80999999994,69,9
Spain,61558.56000000007,105,31
Switzerland,56443.95000000002,71,21
Belgium,41196.33999999998,119,25
Sweden,38367.829999999994,46,8
Japan,37416.37,28,8
Norway,36165.439999999995,40,10
Portugal,33375.83999999998,70,19
Finland,22546.08,48,12
Singapore,21279.29,10,1
