StockCode,Description,TotalRevenue,TotalQuantity
22423,REGENCY CAKESTAND 3 TIER,142264.74999999994,12374.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100547.4500000001,36763.0
85099B,JUMBO BAG RED RETROSPOT,85040.53999999976,46078.0
47566,PARTY BUNTING,68785.22999999992,15279.0
84879,ASSORTED COLOUR BIRD ORNAMENT,56413.030000000304,35263.0
23084,RABBIT NIGHT LIGHT,51251.239999999845,27153.0
22502,PICNIC BASKET WICKER SMALL,47348.35,1485.0
79321,CHILLI LIGHTS,46265.109999999986,9646.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42584.13000000008,15591.0
21137,BLACK RECORD COVER FRAME,39045.799999999996,11401.0
