CustomerID,Recency_scaled,Frequency_scaled,Monetary_scaled,Cluster_k3,Cluster_k5,Recency,Frequency,Monetary
12346,0.8951006179041536,-0.3690702464285427,2.882792083157403,2,4,325,1,77183.6
12747,-1.3670689647314018,1.261859507142915,1.127857659702535,2,0,2,11,4196.01
12748,-1.8971662718267155,3.8671470234508067,2.3716783806357222,2,0,0,209,33053.19
12749,-1.2282579451576368,0.6309297535714574,1.1125686692529135,2,2,3,5,4090.88
12820,-1.2282579451576368,0.4649735207179271,0.22821917720546978,1,2,3,4,942.34
12821,0.6942490850373886,-0.3690702464285427,-1.163465443937925,0,3,214,1,92.72
12822,0.1596422557462171,0.0,0.2323831091633153,1,4,70,2,948.88
12823,0.18608807186562598,0.6309297535714574,0.6042544438445836,1,4,74,5,1759.5
12824,0.07841788023619099,-0.3690702464285427,-0.2917068924073881,0,1,59,1,397.12
12826,-1.3670689647314018,0.8927892607143721,0.4979083700815674,2,2,2,7,1474.72
12827,-1.0326148013968623,0.2618595071429148,-0.24367080008199934,1,1,5,3,430.15
12828,-1.3670689647314018,0.7712437491614222,0.27513679000415053,2,2,2,6,1018.71
12829,0.9111131551142568,0.0,-0.4744271759260466,0,3,336,2,293.0
12830,-0.141975066077631,0.7712437491614222,1.420071303882114,2,2,37,6,6814.64
12831,0.7914836528511833,-0.3690702464285427,-0.6600983616876003,0,3,262,1,215.05
12832,-0.2100476571070129,0.0,-0.31342355887007933,1,1,32,2,383.03
12833,0.507500485535625,-0.3690702464285427,-0.2617912978294663,0,3,145,1,417.38
12834,0.8268485864253822,-0.3690702464285427,-0.43595329767485436,0,3,282,1,312.38
12836,0.07841788023619099,0.4649735207179271,0.8418797026734075,1,4,59,4,2610.36
12837,0.5921571678236234,-0.3690702464285427,-0.9430588875936384,0,3,173,1,134.1
12838,-0.19564314376077413,0.0,0.02465658616441586,1,1,33,2,671.95
12839,-1.3670689647314018,1.4649735207179273,1.300854140289294,2,0,2,14,5591.42
12840,0.5008449957020699,0.4649735207179271,0.8681650583586795,1,4,143,4,2726.77
12841,-1.1205877535282016,1.9656472730442505,1.0977624114915288,2,0,4,25,3991.58
12842,0.1596422557462171,0.0,0.3316701689432918,1,4,70,2,1118.99
